10000 10800
14 18 6
7 49 45
21 24 14
21 45 21
2 27 26
5 37 9
22 4 37
21 43 37
19 59 4
6 35 47
18 59 46
7 12 53
16 53 58
15 59 51
2 21 34
8 31 21
5 7 45
22 16 56
20 14 32
11 42 23
12 24 14
11 17 10
21 30 40
20 44 6
9 9 51
17 17 8
19 18 49
2 43 8
13 45 44
7 14 54
9 54 52
12 31 26
14 44 26
19 51 20
18 36 47
7 59 51
5 46 13
23 35 5
16 33 6
18 13 14
12 55 36
1 49 47
20 0 53
12 19 30
20 39 55
18 38 42
14 13 51
3 28 27
14 47 15
17 44 40
22 34 34
3 50 43
14 0 51
10 45 24
18 54 36
15 11 45
5 21 25
17 0 47
6 17 22
7 17 29
1 16 30
6 26 32
15 34 14
17 28 44
3 4 30
16 27 8
18 11 23
11 19 17
14 57 31
18 22 33
12 9 37
7 22 17
11 22 20
9 4 15
8 9 43
2 39 47
5 9 26
18 59 51
1 1 50
6 42 55
7 47 3
3 24 48
14 22 16
7 49 10
17 24 1
11 47 3
12 43 1
10 46 0
18 35 35
3 8 46
8 22 1
8 4 5
23 23 5
6 3 22
18 27 5
3 0 50
0 38 40
17 37 40
19 49 37
5 33 12
20 56 31
9 55 11
11 14 47
5 6 50
19 53 34
15 50 36
15 28 6
1 49 5
4 48 47
0 34 18
15 2 7
13 54 3
17 49 49
0 22 9
21 6 2
3 26 30
10 6 24
1 53 4
22 49 11
3 12 58
4 59 19
23 2 5
2 59 40
10 47 25
15 49 56
4 55 50
3 39 42
7 44 30
17 46 19
23 1 23
19 18 34
5 52 9
1 3 49
20 34 9
13 1 2
20 24 46
1 5 38
1 28 6
14 35 6
4 54 32
1 43 20
13 13 55
11 13 46
10 40 1
22 14 19
21 51 34
13 8 57
7 31 42
21 44 49
11 42 57
12 39 17
14 24 25
3 20 8
16 29 37
8 20 12
6 28 35
1 5 25
9 12 30
12 59 8
11 48 56
13 49 12
15 1 58
20 17 57
23 32 20
23 33 27
13 7 43
13 47 21
12 31 8
14 15 55
10 26 14
4 55 7
1 24 32
21 32 27
14 59 3
21 14 31
10 9 4
7 25 30
4 39 7
13 15 14
23 39 23
18 10 44
22 1 41
23 43 3
11 14 6
10 5 57
1 32 10
16 5 54
18 50 43
1 48 19
16 48 46
17 22 0
21 6 36
20 28 49
17 52 28
4 41 57
11 33 47
7 17 36
2 15 37
0 24 42
0 41 58
3 12 38
4 21 4
17 59 54
9 19 43
21 35 6
9 59 31
0 34 55
6 55 28
11 40 16
6 19 34
17 37 46
14 43 6
8 3 55
6 35 38
4 49 48
15 39 53
6 33 23
21 3 10
3 48 35
22 23 9
22 15 30
0 31 9
1 26 3
22 58 8
3 16 44
14 2 25
11 14 17
8 15 22
13 55 10
18 31 10
20 11 11
23 54 42
17 42 46
22 55 48
13 50 20
21 12 41
22 19 15
4 16 18
16 28 33
9 46 54
11 7 18
11 18 28
20 36 52
7 26 27
10 4 44
22 17 0
7 12 30
14 23 38
23 54 35
9 56 24
3 16 59
10 21 52
7 12 17
5 49 58
20 47 9
0 54 43
22 30 50
12 32 16
20 54 2
12 8 26
7 6 54
1 10 52
13 53 16
17 28 23
16 2 2
15 2 19
15 48 6
19 42 4
16 56 28
1 5 4
22 41 4
0 14 48
6 8 16
10 31 7
6 21 0
7 55 24
16 46 2
13 26 14
15 30 41
7 28 0
20 31 7
12 2 59
13 28 43
0 49 17
9 36 7
11 36 41
15 11 56
11 47 30
5 36 3
7 38 29
3 57 35
21 56 40
10 27 37
18 16 34
7 15 41
0 36 39
6 49 12
7 40 32
2 34 34
7 39 17
4 47 25
7 14 30
4 57 36
18 56 25
19 44 32
2 1 0
23 54 48
0 31 9
1 9 43
16 43 53
2 58 20
14 5 7
5 11 36
17 10 39
12 32 32
12 54 21
10 4 34
14 47 8
3 10 33
12 51 45
18 5 31
18 56 21
2 40 52
17 58 5
23 43 56
18 16 59
6 26 40
11 4 20
2 48 50
17 15 41
0 45 51
8 2 35
12 16 13
15 8 21
8 40 4
1 32 11
15 19 26
12 10 28
11 27 1
23 5 26
22 42 38
9 41 21
8 10 13
22 59 6
17 18 6
6 22 54
17 33 56
8 51 9
3 6 49
14 26 52
8 12 15
6 3 27
6 53 49
15 57 2
14 59 50
10 50 15
13 19 52
11 37 15
5 1 3
2 46 13
23 29 37
15 23 39
14 49 26
11 14 26
11 51 27
19 51 58
11 34 40
14 50 20
12 18 5
3 42 3
10 4 31
3 47 32
0 16 32
13 22 28
20 26 9
16 9 10
8 41 21
11 45 33
13 44 19
7 57 30
13 18 59
1 11 50
19 59 53
16 5 37
20 33 38
19 33 13
6 14 3
14 38 38
2 10 37
0 0 32
18 0 42
5 6 23
4 7 50
0 12 12
5 8 19
5 18 1
13 29 44
15 34 39
10 0 24
5 10 11
12 58 24
7 1 27
13 21 46
23 13 48
14 4 59
23 2 11
7 16 6
0 26 52
21 3 45
4 0 31
18 9 23
20 56 5
9 36 57
23 47 50
9 17 3
13 56 6
7 52 32
13 34 56
15 45 3
19 56 11
21 47 15
20 59 29
1 12 7
0 40 40
5 19 49
1 32 27
20 51 58
23 21 49
1 17 8
0 51 51
10 18 57
12 4 8
9 43 16
9 57 38
5 42 51
15 10 8
9 52 15
8 55 21
1 21 35
8 5 5
1 36 59
4 54 10
20 13 39
5 23 40
21 22 58
22 13 17
3 6 31
18 11 45
7 20 25
6 35 42
7 14 44
20 51 57
12 44 37
19 28 34
6 45 7
14 35 23
9 0 28
19 19 8
16 17 9
6 24 44
6 15 24
14 43 22
3 21 18
3 35 7
8 35 24
23 6 43
19 58 29
15 37 21
20 56 43
0 26 26
20 52 41
1 9 35
23 44 12
22 49 38
19 15 15
18 32 5
7 42 57
13 32 31
1 0 0
11 25 55
5 40 47
0 10 47
10 24 20
2 18 36
4 39 2
