1000 10800
0 0 21
13 34 20
11 28 36
20 16 32
8 19 38
8 38 43
12 19 6
16 8 13
22 50 33
7 2 14
5 52 50
10 11 17
8 33 1
21 5 8
11 59 49
2 17 7
1 52 31
16 28 29
17 10 59
22 55 28
4 54 9
3 59 56
0 10 31
4 51 51
23 57 58
4 45 47
1 16 15
18 0 51
23 0 19
1 44 56
9 34 34
12 32 32
11 59 33
20 3 12
7 9 53
9 2 5
7 4 47
18 51 3
8 46 15
7 36 2
9 45 0
1 29 37
10 51 32
8 45 15
8 35 2
17 58 8
0 22 35
19 37 57
12 3 56
0 57 9
21 25 26
14 33 54
22 54 4
17 48 21
0 43 25
8 25 28
22 25 11
4 7 0
1 57 46
16 7 5
21 11 44
22 6 13
21 34 58
16 3 26
1 28 56
23 24 32
17 13 47
21 38 38
1 34 52
11 36 46
15 13 11
10 38 49
4 56 49
8 5 22
2 3 9
19 56 23
7 33 54
8 42 57
1 36 10
2 17 47
21 15 50
17 20 2
11 3 48
18 56 22
16 12 28
22 16 42
6 17 48
5 27 28
3 5 53
4 58 18
4 59 52
18 5 37
18 12 8
19 55 19
8 26 25
18 16 51
21 19 9
16 21 59
7 39 35
16 5 55
18 48 27
6 43 25
9 33 50
0 19 23
20 40 37
23 23 17
22 16 25
6 36 28
17 54 50
6 44 57
7 43 57
9 10 38
2 36 16
1 5 36
6 22 27
20 0 55
14 57 2
16 25 24
20 3 58
8 30 58
10 32 5
5 23 25
23 39 49
3 18 35
23 40 3
13 51 24
13 6 41
15 0 21
8 35 48
16 23 2
5 21 35
2 15 38
19 12 48
7 0 39
8 36 29
19 33 3
23 38 17
22 1 0
16 28 42
6 22 4
4 28 6
13 57 6
23 44 14
12 21 33
3 47 22
5 1 30
17 44 35
1 59 6
14 48 4
19 35 19
23 12 12
0 44 22
16 48 6
6 28 2
9 15 34
7 16 11
16 43 18
6 26 40
8 10 54
2 18 8
8 56 49
8 26 20
14 3 59
18 20 56
2 55 20
1 31 6
6 57 9
1 40 11
9 46 17
1 50 58
4 15 1
23 21 41
4 27 15
11 7 55
23 17 8
2 11 8
0 46 53
23 14 47
10 5 39
2 19 8
7 48 40
15 57 41
21 51 24
10 15 14
3 56 54
8 48 26
9 28 29
6 11 46
0 25 25
4 17 16
3 55 32
21 0 10
20 10 31
10 18 16
17 43 58
17 56 52
7 54 27
15 47 16
23 45 26
22 56 7
7 7 58
16 47 29
22 8 20
8 6 2
23 29 32
10 41 50
21 21 22
22 45 48
21 50 48
9 50 37
0 20 14
20 27 17
17 36 5
20 31 54
14 14 17
15 18 54
4 5 3
13 52 56
14 4 30
4 0 40
9 42 41
13 26 48
